operands_A,operands_B,sel,switching_power
2685226516,2351045128,0,0.0112141
439682261,2910186722,1,0.0214815
1068222137,2043056873,1,0.0248481
3254030454,25957452,1,0.0176536
4292226099,2892929194,0,0.0201601
2197579694,1716246408,0,0.0191529
2927161812,277304582,1,0.0205479
2634654205,1337846083,1,0.0239859
1251305550,1728268065,1,0.0190595
2369631051,4146569545,0,0.0197834
4048794249,3360306055,1,0.0208197
448087364,130435259,0,0.0160044
4059317377,3225992799,0,0.0171385
1740549577,4004153248,1,0.0243401
190265265,1453094481,0,0.0186493
3297454044,4234358430,0,0.0200372
2964623357,1749634405,0,0.0183955
716634421,2401358614,1,0.0225799
3882365705,4159592978,1,0.0227337
1856458964,3418193714,0,0.0212982
2964212831,1417630861,0,0.0192798
929159129,3803967050,0,0.021548
2387067489,2590847403,1,0.0210916
3747555289,4239496144,0,0.0217978
4157146817,2783624078,0,0.0200372
3857426069,2829147969,0,0.0183955
3612707092,245047031,1,0.0227337
387265548,1087586291,0,0.0173923
2010954419,3050665445,1,0.0269983
4163892606,1813038323,0,0.0199062
1426891241,3928030259,0,0.0171385
1687509493,349917477,1,0.0214458
190237308,1646058925,1,0.0223438
1597943153,366559088,0,0.0207906
4226704003,3821856668,1,0.0252381
3203984849,1059246425,1,0.0249662
1462954850,503087313,0,0.0180188
1131544581,2091298398,1,0.0189771
2909473832,2122781566,1,0.0221076
2811644841,693828232,1,0.0219538
328943624,1222223971,1,0.0176892
3972195865,3414404087,1,0.0238678
929302983,1059167049,1,0.0212096
700853669,1256695972,0,0.0170116
3903212299,2758498641,0,0.0170116
1209212422,3287494806,1,0.0187053
2016828836,4012907698,0,0.0181457
1977825976,2508517052,0,0.0197834
3389319068,2105363012,1,0.0217177
2095404191,314605940,1,0.020666
2047028212,2787998474,1,0.0218357
2080306040,3593267609,1,0.0267264
3108385091,459654467,1,0.0200755
4162557845,1806879230,1,0.02512
3578038160,1567429861,1,0.0204655
2653824860,3787086984,0,0.0180188
2949953174,1281884470,1,0.021174
1871690709,985071447,1,0.0286404
2650491676,4230687404,0,0.020287
2425916031,928420828,1,0.0222257
720579384,2896195552,1,0.0213277
659725571,3580145331,0,0.0183995
1741279538,2711788933,1,0.0208197
4148309203,30429495,0,0.0161272
30116303,471098364,1,0.0207016
527874560,968042674,1,0.0207016
1013866629,2469704112,0,0.0158775
610661838,1326176526,1,0.0224618
2341648425,2597503735,0,0.0183995
490164139,306883715,0,0.0171344
2579482987,3536594851,1,0.0243401
2824692326,1703295676,0,0.0176421
3067594039,256894040,1,0.0243401
877513024,1853262937,1,0.0198394
3596888600,2094102642,1,0.0204655
2186929607,2637876088,1,0.0228518
3056420109,3407397904,1,0.0186696
421707859,1127652740,0,0.0143667
2116638333,3163777774,0,0.021548
3167647648,389158391,0,0.0197834
2075237830,580079682,0,0.0158734
565751845,190979416,0,0.0142398
641984814,2695280468,0,0.0170116
3877274827,2090417985,1,0.0223438
2419951382,2599075158,1,0.0221076
853758851,1679681422,0,0.0182726
3657385983,3038935776,1,0.0269626
211340411,2471799641,0,0.0176421
896695244,775617713,1,0.024104
3601929825,1956140471,0,0.0182726
2201463544,2556050528,1,0.0209378
2362104925,1749935570,0,0.0186493
283240649,2282950922,0,0.0122213
2297777289,1635098282,0,0.017769
3264985017,1987152241,1,0.023714
374207373,3220487114,0,0.0224323
3765485097,369901334,0,0.0163811
819950969,213795687,0,0.0196565
988806302,3246600621,1,0.0245763
1667447358,3886653481,1,0.0219538
1808042073,2885592369,0,0.01903
429753163,1181617348,1,0.0196856
4238856687,1265605998,1,0.0276244
2179375778,2038826559,1,0.0199575
3675506267,2885151675,0,0.0241969
596665331,2789718680,1,0.0212096
257997368,4209713476,1,0.0205836
2102385160,3862065279,1,0.0234779
1553014002,2815416745,0,0.0201641
3095196891,2447224916,1,0.0238321
4129044537,2889478798,1,0.0223438
1503588668,2145158356,0,0.0204139
24258256,3919925560,1,0.0181973
3630265272,818489046,1,0.0208197
4052218469,3037023718,0,0.0191529
305126985,3531837536,1,0.0192957
653133871,3209595571,1,0.0227337
3145223542,2133508850,0,0.0209175
38270687,3496178476,0,0.0185224
1853853357,3210866748,1,0.0259822
2106825661,3198682783,1,0.0254742
42515146,3858387461,1,0.0193314
1419555167,226665648,1,0.0199218
2911238236,1246482304,0,0.0173883
3303510074,3866594572,1,0.0217177
